brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price,car_age,mileage_per_year,is_luxury_brand,had_accident,has_clean_title,engine_size_l,is_automatic
Maserati,Quattroporte S,2019,23230.0,Gasoline,424.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,44999.0,7,3318.5714285714284,1,0,1,3.0,1
Jaguar,XF 35t R-Sport,2017,48000.0,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Red,Black,At least 1 accident or damage reported,Yes,30000.0,9,5333.333333333333,1,1,1,3.0,1
Lexus,ES 330 Base,2005,41059.0,Gasoline,225.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,White,Beige,None reported,Yes,11100.0,21,1955.1904761904761,1,0,1,3.3,1
Land,Rover Discovery Sport SE R-Dynamic,2020,21240.0,Gasoline,2.0 Liter,Automatic,White,Black,None reported,Unknown,37998.0,6,3540.0,0,0,0,,1
Porsche,Cayman GTS,2015,11500.0,Gasoline,340.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Silver,–,None reported,Yes,72000.0,11,1045.4545454545455,1,0,1,3.4,1
Genesis,G90 3.3T Premium,2021,9950.0,Gasoline,365.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Blue,None reported,Yes,53950.0,5,1990.0,0,0,1,3.3,1
Volkswagen,Golf R 20th Anniversary Edition,2023,633.0,Gasoline,315.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Black,None reported,Yes,47999.0,3,211.0,0,0,1,2.0,0
Hyundai,Sonata Hybrid Limited,2015,66000.0,Hybrid,199.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid,A/T,White,Gray,At least 1 accident or damage reported,Yes,15900.0,11,6000.0,0,1,1,2.4,1
Audi,RS 7 4.0T Prestige,2014,59715.0,Gasoline,560.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,At least 1 accident or damage reported,Yes,45000.0,12,4976.25,1,1,1,4.0,1
BMW,740 Li,2012,85252.0,Gasoline,326.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,18500.0,14,6089.428571428572,1,0,1,3.0,1
Mercedes-Benz,GLS 450 Base 4MATIC,2020,17900.0,Hybrid,362.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,9-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,80000.0,6,2983.3333333333335,1,1,1,3.0,1
BMW,M6 Base,2016,25500.0,Gasoline,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Black,None reported,Yes,55000.0,10,2550.0,1,0,1,4.4,1
Subaru,Forester 2.5 X,2004,200684.0,Gasoline,165.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,M/T,Green,Beige,Unknown,Unknown,2300.0,22,9122.0,0,0,0,2.5,0
Hyundai,Elantra N Base,2023,3800.0,Gasoline,276.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Black,None reported,Yes,34000.0,3,1266.6666666666667,0,0,1,2.0,0
Kia,Niro Plug-In Hybrid EX Premium,2022,36602.0,Hybrid,1.6L I4 16V GDI DOHC Hybrid,6-Speed Automatic with Auto-Shift,Horizon Blue,Charcoal,None reported,Yes,31995.0,4,9150.5,0,0,1,1.6,1
Rivian,R1S Adventure Package,2023,2800.0,Unknown,835.0HP Electric Motor Electric Fuel System,1-Speed A/T,White,Green,None reported,Yes,92000.0,3,933.3333333333334,0,0,1,,1
Aston,Martin DBS Superleggera,2021,2165.0,Gasoline,5.2L V12 48V GDI DOHC Twin Turbo,8-Speed Automatic,Black,Black,None reported,Yes,99175.0,5,433.0,0,0,1,5.2,1
Mercedes-Benz,SLC 300 Base,2018,33000.0,Gasoline,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,Red,Black,At least 1 accident or damage reported,Yes,29900.0,8,4125.0,1,1,1,2.0,1
BMW,435 Gran Coupe i,2016,76009.0,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Beige,None reported,Yes,24950.0,10,7600.9,1,0,1,3.0,1
Jeep,Grand Cherokee Summit,2020,31349.0,Gasoline,5.7L V8 16V MPFI OHV,8-Speed Automatic,Granite Crystal Clearcoat Metallic,Black,None reported,Unknown,39366.0,6,5224.833333333333,0,0,0,5.7,1
Lexus,RC 350 Base,2015,48000.0,Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Orange,Red,None reported,Yes,32900.0,11,4363.636363636364,1,0,1,3.5,0
BMW,525 i,2005,91420.0,Gasoline,215.0HP 2.5L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,8900.0,21,4353.333333333333,1,0,1,2.5,1
Toyota,Corolla LE,2003,124756.0,Gasoline,130.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,M/T,Beige,Beige,At least 1 accident or damage reported,Yes,4995.0,23,5424.173913043478,0,1,1,1.8,0
Cadillac,CT5-V Blackwing,2023,2415.0,Gasoline,6.2L V8 16V GDI OHV Supercharged,10-Speed Automatic,Rift Metallic,Gray,None reported,Unknown,99175.0,3,805.0,0,0,0,6.2,1
GMC,Acadia SLT-1,2012,116226.0,Gasoline,288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,7900.0,14,8301.857142857143,0,0,1,3.6,1
Lexus,LC 500 Base,2020,37869.0,Gasoline,5.0L V8 32V PDI DOHC,10-Speed Automatic,Atomic Silver,Rioja Red,None reported,Unknown,75950.0,6,6311.5,1,0,0,5.0,1
BMW,i8 Base,2019,41500.0,Plug-In Hybrid,369.0HP 1.5L 3 Cylinder Engine Plug-In Electric/Gas,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,86000.0,7,5928.571428571428,1,0,1,1.5,0
Lexus,ES 300h Base,2013,87001.0,Hybrid,200.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,Gold,Beige,None reported,Yes,17995.0,13,6692.384615384615,1,0,1,2.5,1
Cadillac,CT5-V V-Series,2022,4451.0,Gasoline,3.0L V6 24V GDI DOHC Twin Turbo,Automatic,Summit White,Jet Black,At least 1 accident or damage reported,Yes,55655.0,4,1112.75,0,1,1,3.0,1
BMW,540 i xDrive,2020,27158.0,Gasoline,2.0 Liter Turbo,Automatic,Imperial Blue Metallic,Canberra Beige/Black,None reported,Unknown,39998.0,6,4526.333333333333,1,0,0,,1
Chevrolet,Express 1500 Work Van,2014,139804.0,Gasoline,195.0HP 4.3L V6 Cylinder Engine Gasoline Fuel,A/T,White,Gray,At least 1 accident or damage reported,Yes,14500.0,12,11650.333333333334,0,1,1,4.3,1
Jeep,Gladiator Rubicon,2022,27300.0,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Green,Black,None reported,Yes,47500.0,4,6825.0,0,0,1,3.6,1
BMW,Z4 sDrive28i,2014,36812.0,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Beige,None reported,Yes,27000.0,12,3067.6666666666665,1,0,1,2.0,0
Land,Rover LR4 HSE LUX Landmark Edition,2016,144000.0,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,18000.0,10,14400.0,0,1,1,3.0,1
Cadillac,XT4 Sport,2019,44500.0,Gasoline,237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,Blue,White,None reported,Yes,28900.0,7,6357.142857142857,0,0,1,2.0,1
BMW,750 750i xDrive,2021,10917.0,Gasoline,4.4 Liter Twin Turbo,Automatic,Black,Black,None reported,Unknown,73998.0,5,2183.4,1,0,0,,1
Bentley,Arnage R,2005,8332.0,Gasoline,400.0HP 6.75L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,White,Beige,None reported,Yes,47350.0,21,396.76190476190476,1,0,1,6.75,1
Lincoln,Aviator Reserve AWD,2020,51247.0,Gasoline,3.0 Liter GTDI,Automatic,Magnetic Gray Clearcoat,Roast,None reported,Unknown,47698.0,6,8541.166666666666,0,0,0,,1
Mercedes-Benz,AMG GL AMG GL 63 4MATIC,2016,69000.0,Gasoline,550.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Brown,None reported,Yes,36500.0,10,6900.0,1,0,1,5.5,0
RAM,ProMaster 3500 High Roof,2021,147834.0,Gasoline,3.6L V6 24V MPFI DOHC,6-Speed Automatic,Bright White Clearcoat,Black,None reported,Yes,32662.0,5,29566.8,0,0,1,3.6,1
Ford,Utility Police Interceptor Base,2013,105000.0,E85 Flex Fuel,300.0HP 3.7L V6 Cylinder Engine Flex Fuel Capability,A/T,White,Black,At least 1 accident or damage reported,Yes,6600.0,13,8076.923076923077,0,1,1,3.7,1
Audi,A5 2.0T Premium,2011,92203.0,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Red,Beige,None reported,Yes,9995.0,15,6146.866666666667,1,0,1,2.0,0
Nissan,GT-R Premium,2010,15600.0,Gasoline,485.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,69500.0,16,975.0,0,0,1,3.8,0
Land,Rover Range Rover Sport 3.0L Supercharged HSE,2018,104700.0,Gasoline,V6,Automatic,Fuji White,Ivory / Ebony,At least 1 accident or damage reported,Unknown,30775.0,8,13087.5,0,1,0,,1
Toyota,Corolla LE,2010,72348.0,Gasoline,132.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,A/T,Red,Gray,At least 1 accident or damage reported,Yes,9995.0,16,4521.75,0,1,1,1.8,1
Rivian,R1S Adventure Package,2023,2500.0,Unknown,835.0HP Electric Motor Electric Fuel System,A/T,Green,White,None reported,Yes,94000.0,3,833.3333333333334,0,0,1,,1
Mercedes-Benz,C-Class C300 4MATIC,2022,13177.0,Gasoline,2.0 Liter Turbo,Automatic,White,Silk Beige/Black,None reported,Unknown,44798.0,4,3294.25,1,0,0,,1
Porsche,Cayenne E-Hybrid S,2016,96000.0,Plug-In Hybrid,416.0HP 3.0L V6 Cylinder Engine Plug-In Electric/Gas,Transmission w/Dual Shift Mode,White,Red,At least 1 accident or damage reported,Yes,23000.0,10,9600.0,1,1,1,3.0,0
